card_number,player_name,team_name,rarity_name,position,variant_type,is_autograph,is_numbered,print_run,product_name,season,competition,source_verified
53,Kingsley Coman,FC Bayern München,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
54,Dušan Vlahović,Juventus,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
55,Bernardo Silva,Manchester City,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
56,Leroy Sané,FC Bayern München,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
57,Gavi,FC Barcelona,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
58,Ferran Torres,FC Barcelona,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
59,João Félix,FC Barcelona,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
60,Diogo Jota,Liverpool FC,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
61,Rafael Leão,AC Milan,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
62,Theo Hernández,AC Milan,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
63,Mike Maignan,AC Milan,Base,gardien,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
64,Darwin Núñez,Liverpool FC,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
65,Lautaro Martínez,FC Internazionale Milano,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
66,Hakan Çalhanoğlu,FC Internazionale Milano,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
67,Dani Carvajal,Real Madrid C.F.,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
68,Aurélien Tchouaméni,Real Madrid C.F.,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
69,Eduardo Camavinga,Real Madrid C.F.,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
70,Florian Wirtz,Bayer 04 Leverkusen,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
71,Granit Xhaka,Bayer 04 Leverkusen,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
72,Victor Boniface,Bayer 04 Leverkusen,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
73,Romelu Lukaku,SSC Napoli,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
74,Khvicha Kvaratskhelia,Paris Saint-Germain,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
75,Vitinha,Paris Saint-Germain,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
76,Warren Zaïre-Emery,Paris Saint-Germain,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
77,Raphaël Varane,Como 1907,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
78,Eliesse Ben Seghir,AS Monaco,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
79,Aleksandr Golovin,AS Monaco,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
80,Youssouf Fofana,AS Monaco,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
81,Lucas Chevalier,LOSC Lille,Base,gardien,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
82,Jonathan David,LOSC Lille,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
83,Edon Zhegrova,LOSC Lille,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
84,Milán Škriniar,Paris Saint-Germain,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
85,Nuno Mendes,Paris Saint-Germain,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
86,Lucas Hernandez,Paris Saint-Germain,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
87,Sébastien Haller,Borussia Dortmund,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
88,Niclas Füllkrug,West Ham United,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
89,Randal Kolo Muani,Paris Saint-Germain,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
90,Lee Kang-in,Paris Saint-Germain,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
91,Arnaut Danjuma,Villarreal CF,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
92,Rayan Cherki,Olympique Lyonnais,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
93,Pedro Gonçalves,Sporting Clube de Portugal,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
94,Gyökeres Viktor,Sporting Clube de Portugal,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
95,Rasmus Højlund,Manchester United,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
96,Matteo Guendouzi,SS Lazio,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
97,Federico Chiesa,Liverpool FC,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
98,Alejandro Garnacho,Manchester United,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
99,Dominik Szoboszlai,Liverpool FC,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
100,Ryan Gravenberch,Liverpool FC,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
101,David Raya,Arsenal FC,Base,gardien,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
102,Raphinha,FC Barcelona,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
103,Kassoum Ouattara,AS Monaco,Base-RC,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
104,Trent Alexander-Arnold,Liverpool FC,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
105,Karim Adeyemi,Borussia Dortmund,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
106,Omari Kellyman,Chelsea FC,Base-RC,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
107,Gleison Bremer,Juventus,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
108,Geovany Quenda,Sporting Clube de Portugal,Base-RC,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
109,Ousmane Dembélé,Paris Saint-Germain,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
110,Samu Aghehowa,FC Porto,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
111,Marcus Thuram,FC Internazionale Milano,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
112,Lucas Bergvall,Tottenham Hotspur,Base-RC,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
113,Noni Madueke,Chelsea FC,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
114,Emiliano Martínez,Aston Villa,Base,gardien,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
115,Marc Guiu,Chelsea FC,Base-FS,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
116,Bradley Barcola,Paris Saint-Germain,Base-FS,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
117,Deniz Gül,FC Porto,Base-RC,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
118,Kjell Wätjen,Borussia Dortmund,Base-RC,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
119,Georgiy Sudakov,FC Shakhtar Donetsk,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
120,Tygo Land,PSV Eindhoven,Base-RC,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
121,Joshua Zirkzee,Manchester United,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
122,Ousmane Diomande,Sporting Clube de Portugal,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
123,Pablo Barrios,Atlético de Madrid,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
124,Federico Chiesa,Liverpool FC,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
125,Kai Havertz,Arsenal FC,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
126,Antoni Milambo,Feyenoord,Base-FS,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
127,Alistair Johnston,Celtic FC,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,true
128,Jamie Gittens,Borussia Dortmund,Base-RC,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
129,Yorbe Vertessen,PSV Eindhoven,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
130,Luka Modrić,Real Madrid C.F.,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
131,Ángel Di María,SL Benfica,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
132,Artem Dovbyk,AS Roma,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
133,Ivan Toney,Al-Ahli,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
134,Takumi Minamino,AS Monaco,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
135,Maghnes Akliouche,AS Monaco,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
136,Thiago,Liverpool FC,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
137,Ademola Lookman,Atalanta BC,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
138,Gianluca Scamacca,Atalanta BC,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
139,Mattia Zaccagni,SS Lazio,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
140,Pierre-Emerick Aubameyang,Olympique de Marseille,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
141,Leonardo Balerdi,Olympique de Marseille,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
142,Santiago Arias,Girona FC,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
143,Arnaud Nordin,Montpellier HSC,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
144,Alexander Isak,Newcastle United,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
145,Anthony Gordon,Newcastle United,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
146,Rúben Amorim,Manchester United,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
147,Igor Thiago,Club Brugge KV,Base-RC,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
148,Désiré Doué,Paris Saint-Germain,Base-FS,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
149,Nuno Mendes,Paris Saint-Germain,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
150,Victor Osimhen,SSC Napoli,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
151,Nicolás González,Fiorentina,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
152,Albert Gudmundsson,ACF Fiorentina,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
153,Pedro Neto,Chelsea FC,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
154,Enzo Fernández,Chelsea FC,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
155,Reece James,Chelsea FC,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
156,Malo Gusto,Chelsea FC,Base-RC,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
157,Gabriel Martinelli,Arsenal FC,Base,attaquant,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
158,Martin Ødegaard,Arsenal FC,Base,milieu,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
159,William Saliba,Arsenal FC,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
160,Gabriel Magalhães,Arsenal FC,Base,défenseur,base,false,false,,Topps Chrome UEFA Club Competitions 2024-2025,2024-2025,UEFA Champions League / Europa League / Conference League,partial
