card_number,player_name,team_name,rarity_name,position,variant_type,is_autograph,is_numbered,print_run,product_name,season,source_verified
19,Écusson,AJ Auxerre,Écusson,écusson,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
20,Donovan Léon,AJ Auxerre,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
21,Théo De Percin,AJ Auxerre,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
22,Clément Akpa,AJ Auxerre,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
23,Sinaly Diomandé,AJ Auxerre,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
24,Paul Joly,AJ Auxerre,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
25,Gideon Mensah,AJ Auxerre,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
26,Fredrik Oppegård,AJ Auxerre,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
27,Gabriel Osho,AJ Auxerre,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
28,Kévin Danois,AJ Auxerre,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
29,Assane Dioussé,AJ Auxerre,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
30,Han-Noah Massengo,AJ Auxerre,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
31,Elisha Owusu,AJ Auxerre,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
32,Florian Ayé,AJ Auxerre,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
33,Theo Bair,AJ Auxerre,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
34,Ado Onaiwu,AJ Auxerre,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
35,Gaëtan Perrin,AJ Auxerre,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
36,Lassine Sinayoko,AJ Auxerre,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
37,Écusson,Stade Brestois 29,Écusson,écusson,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
38,Marco Bizot,Stade Brestois 29,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
39,Grégoire Coudert,Stade Brestois 29,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
40,Justin Bourgault,Stade Brestois 29,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
41,Brendan Chardonnet,Stade Brestois 29,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
42,Massadio Haïdara,Stade Brestois 29,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
43,Kenny Lala,Stade Brestois 29,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
44,Julien Le Cardinal,Stade Brestois 29,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
45,Bradley Locko,Stade Brestois 29,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
46,Luck Zogbé,Stade Brestois 29,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
47,Kamory Doumbia,Stade Brestois 29,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
48,Edimilson Fernandes,Stade Brestois 29,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
49,Pierre Lees-Melou,Stade Brestois 29,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
50,Hugo Magnetti,Stade Brestois 29,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
51,Ludovic Ajorque,Stade Brestois 29,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
52,Mama Baldé,Stade Brestois 29,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
53,Romain Del Castillo,Stade Brestois 29,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
54,Abdallah Sima,Stade Brestois 29,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
55,Écusson,Le Havre AC,Écusson,écusson,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
56,Paul Argney,Le Havre AC,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
57,Arthur Desmas,Le Havre AC,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
58,Oualid El Hajjam,Le Havre AC,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
59,Gautier Lloris,Le Havre AC,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
60,Timothée Pembélé,Le Havre AC,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
61,Arouna Sangante,Le Havre AC,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
62,Étienne Youte Kinkoue,Le Havre AC,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
63,Yanis Zouaoui,Le Havre AC,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
64,Ismaïl Bouneb,Le Havre AC,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
65,Simon Ebonog,Le Havre AC,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
66,Yassine Kechta,Le Havre AC,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
67,Rassoul Ndiaye,Le Havre AC,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
68,Abdoulaye Touré,Le Havre AC,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
69,Kandet Diawar,Le Havre AC,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
70,Élysée Logbo,Le Havre AC,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
71,Ruben Londja,Le Havre AC,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
72,Issa Soumaré,Le Havre AC,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
73,Écusson,RC Lens,Écusson,écusson,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
74,Hervé Koffi,RC Lens,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
75,Yannick Pandor,RC Lens,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
76,Ruben Aguilar,RC Lens,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
77,Jhoanner Chávez,RC Lens,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
78,Jonathan Gradit,RC Lens,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
79,Deiver Machado,RC Lens,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
80,Facundo Medina,RC Lens,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
81,Malang Sarr,RC Lens,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
82,Andy Diouf,RC Lens,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
83,Neil El Aynaoui,RC Lens,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
84,Angelo Fulgini,RC Lens,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
85,Hamzat Ojediran,RC Lens,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
86,Adrien Thomasson,RC Lens,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
87,Anass Zaroury,RC Lens,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
88,Wesley Saïd,RC Lens,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
89,Martín Satriano,RC Lens,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
90,Florian Sotoca,RC Lens,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
91,Écusson,LOSC Lille,Écusson,écusson,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
92,Marc-Aurèle Caillard,LOSC Lille,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
93,Lucas Chevalier,LOSC Lille,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
94,Alexsandro,LOSC Lille,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
95,Bafodé Diakité,LOSC Lille,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
96,Gabriel Gudmundsson,LOSC Lille,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
97,Ismaily,LOSC Lille,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
98,Aïssa Mandi,LOSC Lille,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
99,Thomas Meunier,LOSC Lille,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
100,Tiago Santos,LOSC Lille,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
101,Benjamin André,LOSC Lille,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
102,Ayyoub Bouaddi,LOSC Lille,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
103,André Gomes,LOSC Lille,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
104,Hákon Arnar Haraldsson,LOSC Lille,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
105,Ngal'ayel Mukau,LOSC Lille,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
106,Matias Fernandez-Pardo,LOSC Lille,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
107,Osame Sahraoui,LOSC Lille,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
108,Edon Zhegrova,LOSC Lille,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
109,Écusson,FC Lorient,Écusson,écusson,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
110,Benjamin Leroy,FC Lorient,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
111,Yvon Mvogo,FC Lorient,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
112,Nathaniel Adjei,FC Lorient,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
113,Gédéon Kalulu,FC Lorient,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
114,Formose Mendy,FC Lorient,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
115,Igor Silva,FC Lorient,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
116,Montassar Talbi,FC Lorient,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
117,Darlin Yongwa,FC Lorient,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
118,Laurent Abergel,FC Lorient,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
119,Arthur Avom,FC Lorient,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
120,Panos Katseris,FC Lorient,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
121,Jean-Victor Makengo,FC Lorient,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
122,Mohamed Bamba,FC Lorient,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
123,Joel Mvuka,FC Lorient,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
124,Pablo Pagis,FC Lorient,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
125,Sambou Soumano,FC Lorient,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
126,Aiyegun Tosin,FC Lorient,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
127,Écusson,Olympique Lyonnais,Écusson,écusson,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
128,Rémy Descamps,Olympique Lyonnais,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
129,Lucas Perri,Olympique Lyonnais,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
130,Abner,Olympique Lyonnais,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
131,Duje Ćaleta-Car,Olympique Lyonnais,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
132,Saël Kumbedi,Olympique Lyonnais,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
133,Ainsley Maitland-Niles,Olympique Lyonnais,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
134,Clinton Mata,Olympique Lyonnais,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
135,Moussa Niakhaté,Olympique Lyonnais,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
136,Paul Akouokou,Olympique Lyonnais,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
137,Nemanja Matić,Olympique Lyonnais,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
138,Tanner Tessmann,Olympique Lyonnais,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
139,Corentin Tolisso,Olympique Lyonnais,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
140,Jordan Veretout,Olympique Lyonnais,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
141,Malick Fofana,Olympique Lyonnais,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
142,Georges Mikautadze,Olympique Lyonnais,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
143,Enzo Molebe,Olympique Lyonnais,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
144,Ernest Nuamah,Olympique Lyonnais,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
145,Écusson,Olympique de Marseille,Écusson,écusson,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
146,Jeffrey de Lange,Olympique de Marseille,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
147,Gerónimo Rulli,Olympique de Marseille,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
148,Leonardo Balerdi,Olympique de Marseille,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
149,Derek Cornelius,Olympique de Marseille,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
150,Amar Dedić,Olympique de Marseille,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
151,Ulisses Garcia,Olympique de Marseille,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
152,Quentin Merlin,Olympique de Marseille,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
153,Michael Amir Murillo,Olympique de Marseille,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
154,Ismaël Bennacer,Olympique de Marseille,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
155,Pierre-Emile Højbjerg,Olympique de Marseille,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
156,Geoffrey Kondogbia,Olympique de Marseille,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
157,Adrien Rabiot,Olympique de Marseille,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
158,Valentin Rongier,Olympique de Marseille,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
159,Amine Gouiri,Olympique de Marseille,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
160,Mason Greenwood,Olympique de Marseille,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
161,Neal Maupay,Olympique de Marseille,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
162,Jonathan Rowe,Olympique de Marseille,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
163,Écusson,FC Metz,Écusson,écusson,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
164,Ousmane Ba,FC Metz,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
165,Pape Sy,FC Metz,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
166,Fali Candé,FC Metz,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
167,Koffi Kouao,FC Metz,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
168,Sadibou Sané,FC Metz,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
169,Matthieu Udol,FC Metz,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
170,Kevin Van Den Kerkhof,FC Metz,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
171,Arthur Atta,FC Metz,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
172,Gauthier Hein,FC Metz,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
173,Benjamin Stambouli,FC Metz,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
174,Alpha Touré,FC Metz,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
175,Joel Asoro,FC Metz,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
176,Morgan Bokele,FC Metz,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
177,Papa Amadou Diallo,FC Metz,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
178,Idrissa Gueye,FC Metz,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
179,Cheikh Sabaly,FC Metz,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
180,Ibou Sané,FC Metz,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
181,Écusson,AS Monaco,Écusson,écusson,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
182,Philipp Köhn,AS Monaco,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
183,Radosław Majecki,AS Monaco,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
184,Caio Henrique,AS Monaco,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
185,Thilo Kehrer,AS Monaco,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
186,Mohammed Salisu,AS Monaco,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
187,Wilfried Singo,AS Monaco,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
188,Vanderson,AS Monaco,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
189,Maghnes Akliouche,AS Monaco,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
190,Eliesse Ben Seghir,AS Monaco,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
191,Lamine Camara,AS Monaco,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
192,Aleksandr Golovin,AS Monaco,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
193,Denis Zakaria,AS Monaco,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
194,Folarin Balogun,AS Monaco,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
195,Mika Biereth,AS Monaco,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
196,Breel Embolo,AS Monaco,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
197,George Ilenikhena,AS Monaco,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
198,Takumi Minamino,AS Monaco,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
199,Écusson,FC Nantes,Écusson,écusson,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
200,Alban Lafont,FC Nantes,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
201,Anthony Lopes,FC Nantes,Base,gardien,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
202,Kelvin Amian,FC Nantes,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
203,Jean-Charles Castelletto,FC Nantes,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
204,Fabien Centonze,FC Nantes,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
205,Marcus Coco,FC Nantes,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
206,Nathan Zézé,FC Nantes,Base,défenseur,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
207,Douglas Augusto,FC Nantes,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
208,Pedro Chirivella,FC Nantes,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
209,Johann Lepenant,FC Nantes,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
210,Louis Leroux,FC Nantes,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
211,Dehmaine Tabibou,FC Nantes,Base,milieu,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
212,Matthis Abline,FC Nantes,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
213,Herba Guirassy,FC Nantes,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
214,Tino Kadewere,FC Nantes,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
215,Mostafa Mohamed,FC Nantes,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
216,Moses Simon,FC Nantes,Base,attaquant,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
217,Écusson,OGC Nice,Écusson,écusson,base,false,false,,Adrenalyn XL Ligue 1 2025-2026,2025-2026,true
